customer_id,signup_date,tenure_days,subscription_tier,monthly_reoccuring_revenue,company_size,industry,logins_30d,session_duration_avg,features_used,power_feature_usage,days_since_last_login,support_tickets_30d,ticket_sentiment,net_promoter_score,payment_failures,usage_vs_plan,churned
cust_00130,2024-12-09,266,basic,49,11-50,retail,8,78.6,5,2,0,2,0.75,8,0,0.54,0
cust_00131,2024-10-09,327,basic,49,1-10,other,11,30.6,5,2,2,0,0.6,10,0,0.82,0
cust_00132,2024-10-22,314,free,0,1-10,finance,17,37.6,10,0,4,0,0.67,8,0,0.44,0
cust_00133,2023-10-24,678,free,0,200+,other,14,55.3,8,0,6,1,0.35,10,0,0.54,0
cust_00134,2025-04-17,137,free,0,1-10,tech,11,19.1,4,0,2,2,0.74,9,0,0.8,0
cust_00135,2024-07-13,415,basic,49,200+,tech,13,113.4,11,1,3,1,0.21,9,0,0.58,0
cust_00136,2023-12-13,628,basic,49,1-10,tech,13,34.0,8,0,1,0,0.32,10,0,0.64,0
cust_00137,2025-06-10,83,premium,199,200+,healthcare,10,12.6,9,1,2,1,0.29,10,0,0.46,0
cust_00138,2025-07-08,55,free,0,1-10,retail,2,5.0,4,0,2,4,0.04,2,1,0.57,1
cust_00139,2024-06-08,450,free,0,1-10,tech,14,21.6,8,0,1,0,0.28,10,0,0.63,0
cust_00140,2023-11-24,647,basic,49,11-50,finance,2,16.2,1,1,14,2,-0.25,0,0,0.16,1
cust_00141,2024-10-15,321,basic,49,1-10,healthcare,18,16.6,10,1,1,0,0.61,10,0,0.77,0
cust_00142,2025-07-01,62,free,0,51-200,healthcare,10,95.0,6,0,0,1,0.51,7,0,0.54,0
cust_00143,2023-09-24,708,basic,49,1-10,healthcare,1,5.0,2,0,10,0,0.47,10,0,0.17,1
cust_00144,2023-09-12,720,free,0,1-10,healthcare,1,8.3,1,0,43,2,-0.38,0,1,0.16,1
cust_00145,2024-07-31,397,basic,49,1-10,tech,14,10.9,6,1,0,1,0.61,7,0,0.58,0
cust_00146,2023-12-24,617,free,0,1-10,finance,11,75.8,9,0,2,1,0.67,8,0,0.47,0
cust_00147,2024-12-10,265,basic,49,11-50,finance,23,12.3,6,1,3,0,0.72,8,0,0.51,0
cust_00148,2024-10-11,325,basic,49,11-50,tech,12,35.0,8,0,5,0,0.82,9,0,0.85,0
cust_00149,2025-07-09,54,basic,49,200+,healthcare,14,19.4,5,1,3,1,0.85,7,0,0.48,0
cust_00150,2025-05-26,98,free,0,11-50,healthcare,2,5.0,3,0,4,1,0.42,8,0,0.2,1
cust_00151,2024-04-03,516,free,0,1-10,finance,18,24.6,8,0,4,0,0.66,9,0,0.41,0
cust_00152,2024-10-02,334,free,0,11-50,tech,18,20.4,10,0,9,0,0.66,10,0,0.85,0
cust_00153,2025-04-13,141,free,0,51-200,tech,3,5.0,4,0,13,0,0.78,10,0,0.45,1
cust_00154,2024-05-14,475,free,0,11-50,retail,3,15.9,5,0,0,0,0.57,7,1,0.18,1
cust_00155,2024-04-13,506,free,0,1-10,finance,14,16.0,7,0,1,0,0.54,10,0,0.46,0
cust_00156,2023-11-30,641,basic,49,1-10,retail,12,43.8,9,5,3,0,0.57,7,0,0.84,0
cust_00157,2025-03-10,175,premium,199,51-200,tech,1,13.7,2,0,4,0,0.25,7,0,0.38,1
cust_00158,2023-12-01,640,free,0,11-50,other,13,13.8,4,0,0,0,0.72,7,0,0.64,0
cust_00159,2025-06-10,83,free,0,11-50,retail,15,39.1,8,0,1,0,0.23,8,0,0.93,0
cust_00160,2025-06-20,73,premium,199,51-200,healthcare,18,16.9,19,2,1,0,0.46,9,0,0.63,0
cust_00161,2023-12-11,630,basic,49,1-10,healthcare,1,19.3,1,0,1,0,0.85,7,1,0.58,1
cust_00162,2025-02-16,197,basic,49,1-10,finance,16,69.3,7,2,7,0,0.41,8,0,0.57,0
cust_00163,2023-10-30,672,free,0,51-200,finance,3,8.1,3,0,5,1,0.35,10,1,0.46,1
cust_00164,2024-05-01,488,basic,49,51-200,tech,7,10.0,12,0,5,1,0.33,9,0,0.72,0
cust_00165,2025-05-11,113,premium,199,1-10,retail,11,10.0,10,1,1,0,0.6,9,0,0.49,0
cust_00166,2025-04-19,135,basic,49,51-200,healthcare,1,10.4,4,2,2,2,-0.3,5,0,0.52,1
cust_00167,2024-01-25,585,free,0,51-200,tech,12,88.9,10,0,1,1,0.86,8,0,0.46,0
cust_00168,2024-12-17,258,free,0,11-50,healthcare,20,11.9,8,0,1,1,0.58,7,0,0.59,0
cust_00169,2025-05-05,119,basic,49,1-10,retail,20,22.8,9,1,0,3,0.38,8,0,0.87,0
cust_00170,2024-04-29,490,free,0,1-10,retail,9,34.6,12,0,7,0,0.76,9,0,0.44,0
cust_00171,2023-12-17,624,free,0,1-10,other,15,52.9,6,0,3,0,0.87,10,0,0.72,0
cust_00172,2025-05-05,119,basic,49,11-50,finance,3,19.3,6,2,29,0,0.25,9,0,0.31,1
cust_00173,2025-06-20,73,free,0,51-200,healthcare,1,5.0,3,0,6,1,0.89,8,0,0.19,1
cust_00174,2024-05-07,482,free,0,1-10,finance,0,5.0,3,0,5,0,0.28,9,0,0.38,1
cust_00175,2024-01-26,584,basic,49,11-50,finance,14,56.1,6,1,0,0,0.56,8,0,0.57,0
cust_00176,2025-04-16,138,premium,199,11-50,retail,16,34.1,7,0,0,1,0.39,7,0,0.56,0
cust_00177,2025-06-07,86,basic,49,1-10,other,11,29.0,5,3,1,2,0.29,8,0,0.72,0
cust_00178,2024-03-27,523,free,0,11-50,healthcare,12,24.9,5,0,4,0,0.75,9,0,0.75,0
cust_00179,2025-07-17,46,free,0,11-50,retail,1,14.9,2,0,45,0,0.34,8,0,0.41,1
cust_00180,2024-07-23,405,premium,199,1-10,retail,20,63.8,7,1,0,2,0.36,7,0,0.88,0
cust_00181,2024-02-16,563,free,0,51-200,tech,21,45.5,8,0,2,0,0.33,9,0,0.58,0
cust_00182,2024-04-26,493,free,0,1-10,other,4,6.0,1,0,15,0,0.5,8,0,0.37,1
cust_00183,2023-09-21,711,free,0,200+,tech,14,157.9,10,0,2,0,0.85,10,0,0.49,0
cust_00184,2025-06-25,68,premium,199,1-10,tech,17,43.3,7,3,1,0,0.25,10,0,0.6,0
cust_00185,2024-07-10,418,free,0,11-50,healthcare,14,11.8,9,0,7,2,0.79,8,0,0.59,0
cust_00186,2024-11-05,300,basic,49,51-200,retail,9,31.7,11,1,2,0,0.74,7,0,0.76,0
cust_00187,2025-08-01,31,free,0,51-200,other,1,5.0,3,0,21,3,-0.34,1,0,0.44,1
cust_00188,2025-04-10,144,premium,199,200+,tech,2,9.2,2,0,25,4,-0.2,3,0,0.47,1
cust_00189,2024-08-11,386,free,0,1-10,other,12,10.2,14,0,1,1,0.51,8,0,0.82,0
cust_00190,2025-04-19,135,free,0,200+,other,1,12.5,3,0,34,3,0.23,9,1,0.56,1
cust_00191,2024-02-18,561,basic,49,200+,tech,10,26.5,9,0,0,0,0.61,10,0,0.67,0
cust_00192,2023-11-20,651,free,0,1-10,healthcare,0,8.1,6,0,36,2,-0.05,1,0,0.32,1
cust_00193,2024-03-30,520,basic,49,1-10,healthcare,3,5.0,4,0,3,4,0.11,4,1,0.32,1
cust_00194,2025-07-16,47,free,0,11-50,finance,1,19.7,5,0,7,0,0.64,8,0,0.49,1
cust_00195,2024-11-25,280,free,0,11-50,other,14,31.3,5,0,0,0,0.22,8,0,0.52,0
cust_00196,2024-06-23,435,basic,49,11-50,tech,13,26.3,10,4,8,2,0.76,10,0,0.56,0
cust_00197,2024-11-09,296,free,0,11-50,finance,17,10.0,12,0,5,0,0.63,7,0,0.75,0
cust_00198,2023-12-06,635,free,0,11-50,tech,2,5.0,3,0,4,1,0.7,7,0,0.41,1
cust_00199,2024-03-14,536,premium,199,11-50,tech,1,5.0,3,0,9,0,0.45,9,0,0.39,1
cust_00200,2023-09-10,722,free,0,11-50,finance,19,17.8,5,0,1,0,0.59,8,0,0.65,0
cust_00201,2023-09-13,719,free,0,1-10,tech,12,14.7,10,0,2,0,0.29,7,0,0.72,0
cust_00202,2025-07-09,54,free,0,1-10,tech,0,5.0,4,0,13,1,0.82,7,0,0.26,1
cust_00203,2025-05-11,113,free,0,11-50,other,11,27.6,3,0,0,1,0.3,10,0,0.49,0
cust_00204,2024-04-10,509,free,0,1-10,tech,11,37.4,4,0,4,1,0.29,7,0,0.78,0
cust_00205,2024-10-27,309,free,0,200+,tech,2,11.7,6,0,4,1,0.39,9,0,0.38,1
cust_00206,2024-10-25,311,free,0,51-200,retail,14,36.3,12,0,4,1,0.52,7,0,0.59,0
cust_00207,2023-11-26,645,free,0,1-10,tech,13,67.5,13,0,1,0,0.27,9,0,0.45,0
cust_00208,2025-03-19,166,free,0,1-10,other,3,5.0,3,0,24,3,-0.31,6,0,0.46,1
cust_00209,2024-06-24,434,free,0,1-10,healthcare,4,5.0,1,0,2,0,0.73,10,0,0.43,1
cust_00210,2025-02-04,209,basic,49,51-200,finance,15,37.5,9,3,0,2,0.82,9,0,0.69,0
cust_00211,2024-07-28,400,free,0,11-50,healthcare,12,64.9,9,0,2,1,0.45,10,0,0.62,0
cust_00212,2023-12-27,614,free,0,51-200,retail,9,79.6,7,0,9,2,0.38,9,0,0.51,0
cust_00213,2024-10-14,322,basic,49,200+,finance,16,30.4,6,8,0,0,0.29,9,0,0.67,0
cust_00214,2024-03-22,528,free,0,200+,tech,12,32.6,9,0,1,0,0.4,8,0,0.91,0
cust_00215,2024-08-24,373,basic,49,51-200,retail,2,5.0,1,1,27,0,0.83,10,0,0.1,1
cust_00216,2023-12-29,612,premium,199,51-200,finance,17,60.8,4,1,0,1,0.63,8,0,0.77,0
cust_00217,2023-09-27,705,basic,49,1-10,healthcare,19,95.1,12,3,7,0,0.74,10,0,0.65,0
cust_00218,2024-08-27,370,basic,49,1-10,retail,18,15.9,10,2,3,0,0.65,8,0,0.9,0
cust_00219,2024-11-23,282,free,0,11-50,retail,9,33.0,5,0,1,0,0.51,8,0,0.81,0
cust_00220,2024-04-19,500,free,0,1-10,other,16,69.3,6,0,1,1,0.76,10,0,0.63,0
cust_00221,2024-01-27,583,basic,49,11-50,retail,13,21.5,10,1,1,1,0.78,8,0,0.73,0
cust_00222,2025-01-01,243,free,0,1-10,other,23,69.9,8,0,0,0,0.79,9,0,0.95,0
cust_00223,2025-06-04,89,free,0,11-50,healthcare,12,46.5,4,0,1,0,0.3,8,0,0.7,0
cust_00224,2025-01-27,217,basic,49,51-200,other,15,32.2,5,3,1,1,0.21,10,0,0.66,0
cust_00225,2024-10-14,322,free,0,11-50,other,7,49.7,9,0,1,0,0.61,9,0,0.81,0
cust_00226,2025-01-14,230,free,0,51-200,finance,13,14.6,7,0,1,1,0.43,8,0,0.66,0
cust_00227,2024-12-16,259,free,0,51-200,tech,1,5.7,7,0,5,0,0.36,7,0,0.12,1
cust_00228,2024-12-23,252,basic,49,51-200,finance,17,57.8,10,3,0,0,0.23,9,0,0.61,0
cust_00229,2024-07-17,411,free,0,51-200,other,15,20.4,12,0,1,1,0.34,9,0,0.43,0
cust_00230,2024-11-27,278,basic,49,11-50,retail,20,12.9,4,4,2,0,0.33,10,0,0.82,0
cust_00231,2025-06-07,86,free,0,1-10,retail,21,58.6,9,0,0,1,0.65,8,0,0.87,0
cust_00232,2024-06-27,431,premium,199,1-10,other,10,21.5,7,1,3,0,0.44,8,0,0.53,0
cust_00233,2025-05-21,103,free,0,1-10,finance,18,16.6,6,0,0,0,0.85,9,0,0.47,0
cust_00234,2024-06-01,457,free,0,1-10,retail,2,6.0,3,0,17,0,0.75,8,0,0.26,1
cust_00235,2024-07-18,410,basic,49,200+,tech,23,115.9,11,2,2,1,0.87,10,0,0.55,0
cust_00236,2023-12-22,619,basic,49,1-10,retail,16,36.8,10,2,1,0,0.53,8,0,0.5,0
cust_00237,2025-05-06,118,basic,49,11-50,healthcare,10,36.6,8,1,2,0,0.7,10,0,0.9,0
cust_00238,2023-12-21,620,free,0,1-10,finance,4,13.7,3,0,0,6,0.13,2,0,0.38,1
cust_00239,2023-09-27,705,premium,199,200+,other,0,5.0,3,0,0,0,0.66,8,0,0.48,1
cust_00240,2024-01-04,606,basic,49,11-50,tech,8,10.4,6,1,7,1,0.75,7,0,0.93,0
cust_00241,2024-11-05,300,basic,49,1-10,tech,16,43.1,8,0,14,2,0.87,7,0,0.68,0
cust_00242,2023-11-11,660,free,0,11-50,tech,17,30.7,9,0,2,0,0.26,9,0,0.62,0
cust_00243,2024-11-01,304,basic,49,11-50,healthcare,2,5.0,4,0,17,0,0.64,7,0,0.33,1
cust_00244,2024-12-11,264,free,0,11-50,other,15,15.2,8,0,1,0,0.35,7,0,0.89,0
cust_00245,2024-04-23,496,free,0,1-10,tech,9,76.1,10,0,1,0,0.47,10,0,0.76,0
cust_00246,2024-06-06,452,free,0,51-200,tech,14,28.8,11,0,0,1,0.67,9,0,0.86,0
cust_00247,2025-04-04,150,free,0,11-50,other,0,7.5,3,0,0,0,0.55,9,0,0.46,1
cust_00248,2024-07-12,416,basic,49,1-10,retail,0,5.0,6,1,4,3,-0.15,5,0,0.37,1
cust_00249,2024-06-08,450,free,0,1-10,healthcare,2,13.7,1,0,6,3,-0.38,4,0,0.46,1
cust_00250,2025-06-05,88,basic,49,11-50,finance,8,13.1,5,3,2,1,0.67,7,0,0.74,0
